[24-Apr-2012 08:21:42] PHP Warning:  require_once(LIBPATH/config.php) [<a href='function.require-once'>function.require-once</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database.php on line 3
[24-Apr-2012 08:21:42] PHP Fatal error:  require_once() [<a href='function.require'>function.require</a>]: Failed opening required 'LIBPATH/config.php' (include_path='.:/Applications/MAMP/bin/php/php5.3.6/lib/php') in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database.php on line 3
[24-Apr-2012 08:23:57] PHP Notice:  Use of undefined constant LIBPATH - assumed 'LIBPATH' in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/user.php on line 5
[24-Apr-2012 08:23:57] PHP Warning:  require_once(LIBPATH/database.php) [<a href='function.require-once'>function.require-once</a>]: failed to open stream: No such file or directory in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/user.php on line 5
[24-Apr-2012 08:23:57] PHP Fatal error:  require_once() [<a href='function.require'>function.require</a>]: Failed opening required 'LIBPATH/database.php' (include_path='.:/Applications/MAMP/bin/php/php5.3.6/lib/php') in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/user.php on line 5
[24-Apr-2012 10:26:21] PHP Fatal error:  Access to undeclared static property: DatabaseObject::$table_name in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database_object.php on line 21
[24-Apr-2012 10:27:17] PHP Fatal error:  Access to undeclared static property: DatabaseObject::$table_name in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/database_object.php on line 16
[28-Apr-2012 11:24:31] PHP Fatal error:  Call to undefined function log_action() in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/login.php on line 21
[28-Apr-2012 11:26:43] PHP Fatal error:  Call to undefined function require_conce() in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/initialize.php on line 34
[28-Apr-2012 11:27:06] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:27:06] PHP Notice:  Undefined variable: logfile in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 30
[28-Apr-2012 11:27:06] PHP Notice:  Undefined variable: logfile in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 46
[28-Apr-2012 11:29:50] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:29:50] PHP Notice:  Undefined variable: logfile in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 30
[28-Apr-2012 11:29:50] PHP Notice:  Undefined variable: logfile in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 46
[28-Apr-2012 11:30:26] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:30:26] PHP Notice:  Undefined variable: logfile in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 30
[28-Apr-2012 11:30:26] PHP Notice:  Undefined variable: logfile in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 46
[28-Apr-2012 11:30:58] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:30:58] PHP Notice:  Undefined variable: logfile in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 30
[28-Apr-2012 11:30:58] PHP Notice:  Undefined variable: logfile in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 46
[28-Apr-2012 11:31:28] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:33:05] PHP Fatal error:  Call to undefined function log_action() in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/login.php on line 21
[28-Apr-2012 11:34:21] PHP Notice:  Undefined variable: log_file in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 10
[28-Apr-2012 11:34:21] PHP Notice:  Undefined variable: log_file in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 11
[28-Apr-2012 11:34:21] PHP Warning:  fopen() [<a href='function.fopen'>function.fopen</a>]: Filename cannot be empty in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 11
[28-Apr-2012 11:34:21] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php:10) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 16
[28-Apr-2012 11:35:34] PHP Fatal error:  Call to undefined function strfrtime() in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php on line 13
[28-Apr-2012 11:36:26] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php:23) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 16
[28-Apr-2012 11:38:56] PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/logger.php:23) in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/includes/functions.php on line 16
[28-Apr-2012 11:47:58] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
[28-Apr-2012 11:48:03] PHP Notice:  Undefined index: clear in /Applications/MAMP/htdocs/Lynda_PHPAdv/photoGallery/public/admin/logfile.php on line 11
